recommendation,feature_index,variable,label,source,clinical_category,summary_mode,valid_fraction,hourly_coverage,point_biserial_corr,auroc,auprc,ap_lift_over_prevalence,mutual_information,univariate_relevance_score,correlation_cluster_id,correlation_cluster_size,mrmr_rank,mrmr_score,elasticnet_selection_probability,elasticnet_mean_abs_coefficient,rfecv_selected,consensus_score,physiology_direction_hint
review,6,chartevents::220181::Non Invasive Blood Pressure mean::valuenum,Non Invasive Blood Pressure mean,chartevents,vital_blood_pressure,observed_fraction,1.0,0.5171654224395752,-0.14855238571575635,0.37436482144453764,0.11392239611157245,0.8143116014392257,0.017873317632831842,0.5576778780074964,3,3,9.0,0.4438531224431656,0.4375,0.02808770097035449,False,0.5718866967355822,low_or_high_may_indicate_instability
review,48,labevents::50971::Potassium::valuenum,Potassium,labevents,lab_electrolyte,observed_fraction,1.0,0.06592892855405807,-0.055086086844918586,0.45270316540121935,0.1297366417122656,0.9273510396901694,0.0009037518062073868,0.336685584961309,22,8,53.0,0.21452582914097323,0.975,0.36805983598169406,False,0.5201723421550594,
review,64,labevents::51254::Monocytes::valuenum,Monocytes,labevents,lab_other,observed_fraction,1.0,0.01108686625957489,0.02565439945829468,0.5170093736643291,0.14461503725072877,1.0337010684053876,0.005104742794592054,0.25821834859813164,47,2,52.0,0.21957767811530293,1.0,0.044042847398668525,False,0.5074655045794395,
review,66,labevents::51146::Basophils::valuenum,Basophils,labevents,lab_blood_gas_respiration,observed_fraction,1.0,0.01108686625957489,0.02565439945829468,0.5170093736643291,0.14461503725072877,1.0337010684053876,0.005104742794592054,0.25821834859813164,47,2,54.0,0.20988256768423422,1.0,0.044042847398668525,False,0.5007988379127728,
review,42,labevents::51279::Red Blood Cells::valuenum,Red Blood Cells,labevents,lab_other,observed_fraction,1.0,0.055304449051618576,-0.038423112477734285,0.4661552290596514,0.13337004456234716,0.9533224219162427,0.0017823084315622406,0.30989516780382037,35,3,55.0,0.20761803355689445,0.95,0.0514927040960174,False,0.49796855034114607,
review,25,labevents::50821::pO2::valuenum,pO2,labevents,lab_blood_gas_respiration,observed_fraction,1.0,0.027171654626727104,0.09778251997593136,0.5827586233628905,0.17116986266661166,1.2235136351035878,0.0076476758937231715,0.4405092005600889,21,5,21.0,0.3562925344606831,0.4375,0.03792997558102797,False,0.49673609350136005,lower_may_indicate_worse_oxygenation
review,15,chartevents::224167::Manual Blood Pressure Systolic Left::valuenum,Manual Blood Pressure Systolic Left,chartevents,vital_blood_pressure,observed_fraction,1.0,0.0003065253549721092,-0.017042627453031405,0.49801254748980434,0.13965614357282244,0.9982551438984278,0.0,0.20638770033762027,12,1,57.0,0.20176615256609742,1.0,0.05918180979788303,False,0.4752496434346194,low_or_high_may_indicate_instability
review,26,labevents::50818::pCO2::valuenum,pCO2,labevents,lab_blood_gas_respiration,observed_fraction,1.0,0.027150873094797134,0.09796934849599183,0.5829418380072449,0.1712515317492463,1.224097401630085,0.0075636258543927415,0.4406650234862681,21,5,17.0,0.3687923044043462,0.275,0.006745585016324185,False,0.46136617371254707,higher_may_indicate_hypercapnia
review,23,chartevents::227287::O2 Flow (additional cannula)::valuenum,O2 Flow (additional cannula),chartevents,respiratory_support_intensity,mean,0.08640897755610973,0.010136118158698082,0.002261501396605115,0.5838281378855352,0.22291751165050738,1.5934032472701152,0.01965280421958071,0.28040841956641205,20,1,44.0,0.2708906817889616,0.9875,0.041487951807357606,False,0.4456800902922013,
review,29,labevents::50804::Calculated Total CO2::valuenum,Calculated Total CO2,labevents,lab_blood_gas_respiration,observed_fraction,1.0,0.027150873094797134,0.09804264708263383,0.5828844703753031,0.17123135406152995,1.2239531725253745,0.00744756142706704,0.4403505402399809,21,5,24.0,0.34340566931532823,0.3,0.006596287610591389,False,0.44543849540532765,
review,56,labevents::50862::Albumin::valuenum,Albumin,labevents,lab_liver_protein,observed_fraction,1.0,0.009206151589751244,0.019853216861486167,0.5107032625644159,0.14317455087205808,1.0234045436665828,0.0,0.22786899469035693,40,1,60.0,0.18103091493829426,0.875,0.014805355316411806,False,0.43419403174044047,
review,63,labevents::51244::Lymphocytes::valuenum,Lymphocytes,labevents,lab_blood_gas_respiration,min,0.23665835411471323,0.01108686625957489,-0.053231854612870125,0.4341359060402684,0.13822850436964776,0.9880504501288548,0.01685897465116737,0.2868982565691591,46,1,46.0,0.26678591359360443,0.875,0.03177991814445704,False,0.42223531238221906,
review,53,labevents::50970::Phosphate::valuenum,Phosphate,labevents,lab_blood_gas_respiration,observed_fraction,1.0,0.0584736093878746,-0.06224065905907034,0.4510973885323654,0.12876868751455312,0.9204321513963601,0.004860839679921458,0.35820811132073993,22,8,42.0,0.2720936952100295,0.4375,0.043109952045051615,False,0.4020457667295554,
review,44,labevents::51248::MCH::valuenum,MCH,labevents,lab_other,observed_fraction,1.0,0.05529925227165222,-0.03836370956455299,0.46620413367381797,0.133378511657098,0.9533829442869215,0.001739571658775585,0.3096586236835404,35,3,58.0,0.19859210549808692,0.6375,0.01153224767579586,False,0.39414758710506215,
review,20,chartevents::229280::FiO2 (ECMO)::valuenum,FiO2 (ECMO),chartevents,respiratory_support_intensity,observed_fraction,1.0,1.0390689567429945e-05,-0.004503754682962858,0.4999275152218034,0.1399002493765586,1.0,0.0,0.18903140519916156,17,1,59.0,0.18228040654894248,0.7125,0.043432478234171866,False,0.37712608822641513,
review,47,labevents::50983::Sodium::valuenum,Sodium,labevents,lab_electrolyte,observed_fraction,1.0,0.06592892855405807,-0.05595987752745878,0.4524481120105598,0.12951082874394587,0.9257369398631425,0.0005422000803529947,0.3367627025305298,22,8,51.0,0.22183224732844042,0.4125,0.08922125345416135,False,0.35811214409249226,
review,49,labevents::50902::Chloride::valuenum,Chloride,labevents,lab_electrolyte,observed_fraction,1.0,0.06575748324394226,-0.05606878687378404,0.4522448057743881,0.1295182735298072,0.9257901548209034,0.00018599902653693157,0.33599731562073903,22,8,56.0,0.20410093883706057,0.4,0.05314301696416805,False,0.33746586135288836,
reject_or_review_sparse,32,labevents::50801::Alveolar-arterial Gradient::valuenum,Alveolar-arterial Gradient,labevents,lab_other,max,0.013466334164588529,0.0006598088075406849,-0.16477452879917429,0.37438142367719834,0.31553442746204474,2.2554243388998207,0.17298892375233565,0.6464214925228604,25,1,3.0,0.610465550927053,0.9875,0.03741857251152396,False,0.6848564145066502,
reject_or_review_sparse,17,chartevents::224643::Manual Blood Pressure Diastolic Left::valuenum,Manual Blood Pressure Diastolic Left,chartevents,vital_blood_pressure,min,0.006982543640897756,0.0003065253549721092,0.14565100059741842,0.6778846153846154,0.4372994652406417,3.125794751541842,0.00924700736021622,0.603117244854176,14,1,,,0.0,0.0,False,0.0,low_or_high_may_indicate_instability
reject_or_review_sparse,19,chartevents::227582::BiPap O2 Flow::valuenum,BiPap O2 Flow,chartevents,respiratory_support_intensity,slope,0.007605985037406484,0.002311928430572152,-0.27215447550125044,0.3226495726495726,0.11714314648582977,0.8373333643639526,0.006430952257149736,0.4840235059497666,16,1,,,0.0,0.0,False,0.0,
reject_or_review_sparse,3,chartevents::220227::Arterial O2 Saturation::valuenum,Arterial O2 Saturation,chartevents,vital_oxygen_saturation,slope,0.004114713216957606,0.0026184539310634136,-0.11173012017850628,0.2916666666666667,0.26446183473919604,1.89035999519461,,0.4668892417421095,2,1,,,0.0,0.0,False,0.0,lower_may_indicate_worse_oxygenation
reject_or_review_sparse,18,chartevents::227242::Manual Blood Pressure Diastolic Right::valuenum,Manual Blood Pressure Diastolic Right,chartevents,vital_blood_pressure,last,0.00685785536159601,0.0002909393224399537,-0.1704275190701154,0.3741496598639456,0.10500416250416252,0.7505645127302882,0.0,0.3772384385326114,15,1,,,0.0,0.0,False,0.0,low_or_high_may_indicate_instability
reject_or_review_sparse,33,labevents::50805::Carboxyhemoglobin::valuenum,Carboxyhemoglobin,labevents,lab_cbc,mean,0.004488778054862843,0.00019222775881644338,-0.09452511223810708,0.530909090909091,0.3825116134608113,2.7341739215291505,,0.3713725953833053,26,1,,,0.0,0.0,False,0.0,
reject_or_review_sparse,34,labevents::50814::Methemoglobin::valuenum,Methemoglobin,labevents,lab_cbc,last,0.003491271820448878,0.0001506650005467236,0.05242839402300089,0.4532163742690059,0.33333333333333337,2.3826500297088535,,0.30201635443854247,27,1,,,0.0,0.0,False,0.0,
reject_or_review_sparse,16,chartevents::227243::Manual Blood Pressure Systolic Right::valuenum,Manual Blood Pressure Systolic Right,chartevents,vital_blood_pressure,max,0.00685785536159601,0.0002961346763186157,-0.09998151843133984,0.4302721088435374,0.10582947754000387,0.756463823414288,0.0,0.24477978312801377,13,1,,,0.0,0.0,False,0.0,low_or_high_may_indicate_instability
